Fichero De Datos De SpectraSuite
++++++++++++++++++++++++++++++++++++
Fecha: Wed Apr 22 13:16:47 CEST 2009
Usuario: evoflor
Presente Oscuro Del Espectro: Sí
La Referencia de Presente Del Espectro De: Sí
Muestreados de los componentes de Número de espectros: 1
Espectrómetros: USB4F02353
Tiempo de integración (usec): 500000 (USB4F02353)
Promedio de Espectros Hechos un: 5 (USB4F02353)
El Alisar Del Furgón: 0 (USB4F02353)
Párrafo de de Corregir del la del del de Eléctrica del obscuridad: Sí (USB4F02353)
Estrobo/Lámpara Permitido: No (USB4F02353)
Correct for Detector Non-linearity: No (USB4F02353)
Párrafo de de Corregir del la del del de Externa del luz: No (USB4F02353)
Procesado del espectro de Número de pixeles en: 3648
>>>>> Comienza Data<<<<< Espectral Procesado Del EL
177,79	345,176
178,00	345,176
178,22	345,176
178,44	2180,055
178,66	-268,395
178,88	262,166
179,09	-312,404
179,31	202,809
179,53	653,607
179,75	405,467
179,96	764,784
180,18	-464,046
180,40	597,818
180,62	209,058
180,83	-1,591
181,05	-2025,793
181,27	-104915,000
181,49	-75,467
181,70	247,750
181,92	1012,259
182,14	475,949
182,36	47,199
182,58	804,850
182,79	1127,299
183,01	-77,121
183,23	140,972
183,45	-37,585
183,66	-221,305
183,88	664,794
184,10	-2300,273
184,32	388,899
184,53	273,866
184,75	-419,526
184,97	-4,454
185,18	-224,276
185,40	-673,149
185,62	192,464
185,84	24,705
186,05	90,962
186,27	-185,962
186,49	3931,346
186,71	-7,766
186,92	215,012
187,14	-279,561
187,36	153,764
187,58	97,770
187,79	-115,676
188,01	256,747
188,23	-147,202
188,45	19,429
188,66	468,371
188,88	-3298,455
189,10	-2453,150
189,31	-23,916
189,53	-13,841
189,75	483,898
189,97	514,288
190,18	-225,687
190,40	918,912
190,62	-332,280
190,83	-272,403
191,05	141,041
191,27	178,900
191,49	302,017
191,70	-521,707
191,92	-454,364
192,14	-119,552
192,35	669,801
192,57	4540,429
192,79	8,812
193,01	256,508
193,22	122,751
193,44	-129,889
193,66	117,568
193,87	301,745
194,09	10,212
194,31	294,574
194,53	179,825
194,74	85,024
194,96	93,881
195,18	124,487
195,39	-279,195
195,61	-187,078
195,83	-169,380
196,04	148,346
196,26	200,930
196,48	-16,353
196,70	400,030
196,91	12,858
197,13	8,139
197,35	91,931
197,56	918,313
197,78	2005,336
198,00	305,699
198,21	107,354
198,43	-1447,180
198,65	180,672
198,86	286,745
199,08	-98,639
199,30	186,872
199,51	-529,365
199,73	294,743
199,95	444,592
200,16	732,365
200,38	291,752
200,60	267,782
200,81	236,221
201,03	424,497
201,25	-1598,150
201,46	187,527
201,68	117,545
201,90	2159,432
202,11	-685,553
202,33	298,232
202,55	1401,437
202,76	-197,271
202,98	321,655
203,20	79,736
203,41	-732,184
203,63	163,839
203,85	-104915,000
204,06	201,659
204,28	-57,627
204,50	165,576
204,71	481,122
204,93	18,520
205,15	256,370
205,36	-162,744
205,58	216,919
